date;time;type;value;unit
28/01/2015;11:42:56.129;volatile organic compounds;0.05;ppm
28/01/2015;11:43:01.039;carbon dioxide;408;ppm
28/01/2015;11:43:44.311;indoor relative humidity;35.0;%
28/01/2015;11:44:45.323;indoor relative humidity;35.0;%
28/01/2015;11:45:46.536;indoor relative humidity;35.0;%
28/01/2015;11:45:50.936;indoor temperature;21.5;°C
28/01/2015;11:45:55.936;volatile organic compounds;0.04;ppm
28/01/2015;11:46:01.956;carbon dioxide;396;ppm
28/01/2015;11:46:45.528;indoor relative humidity;35.0;%
28/01/2015;11:47:46.210;indoor relative humidity;35.0;%
28/01/2015;11:48:46.933;indoor relative humidity;35.0;%
28/01/2015;11:48:49.733;indoor temperature;21.5;°C
28/01/2015;11:48:54.663;volatile organic compounds;0.04;ppm
28/01/2015;11:49:00.543;carbon dioxide;405;ppm
28/01/2015;11:49:45.935;indoor relative humidity;35.0;%
28/01/2015;11:50:45.407;indoor relative humidity;35.0;%
28/01/2015;11:51:45.220;indoor relative humidity;35.0;%
28/01/2015;11:51:49.921;indoor temperature;21.4;°C
28/01/2015;11:51:55.861;volatile organic compounds;0.04;ppm
28/01/2015;11:51:59.061;carbon dioxide;405;ppm
28/01/2015;11:52:45.513;indoor relative humidity;35.0;%
28/01/2015;11:53:44.418;indoor relative humidity;35.0;%
28/01/2015;11:54:45.731;indoor relative humidity;35.0;%
28/01/2015;11:54:49.921;indoor temperature;21.6;°C
28/01/2015;11:54:54.532;volatile organic compounds;0.05;ppm
28/01/2015;11:55:01.362;carbon dioxide;408;ppm
28/01/2015;11:55:45.824;indoor relative humidity;35.0;%
28/01/2015;11:56:46.326;indoor relative humidity;35.0;%
28/01/2015;11:57:44.728;indoor relative humidity;35.0;%
28/01/2015;11:57:50.738;indoor temperature;21.8;°C
28/01/2015;11:57:56.649;volatile organic compounds;0.05;ppm
28/01/2015;11:57:59.459;carbon dioxide;408;ppm
28/01/2015;11:58:45.431;indoor relative humidity;35.0;%
28/01/2015;11:59:45.813;indoor relative humidity;35.0;%
28/01/2015;12:00:44.345;indoor relative humidity;35.0;%
28/01/2015;12:00:49.736;indoor temperature;21.8;°C
28/01/2015;12:00:54.646;volatile organic compounds;0.05;ppm
28/01/2015;12:01:00.246;carbon dioxide;411;ppm
28/01/2015;12:01:44.128;indoor relative humidity;35.0;%
